"StuID","Reason","LastUpdatedDate"
"1979","CSC +REN","2015-04-07 00:00:00"
"1982","CSC+REN","2015-04-08 00:00:00"
"1985","CSC+REN+COA+CON","2015-04-08 00:00:00"
"1986","CSC + REN","2015-04-08 00:00:00"
"1987","CSC + COA + CON","2015-04-09 00:00:00"
"1988","CSC + REN","2015-04-09 00:00:00"
"1991","CSC + REN","2015-04-09 00:00:00"
"1999","CSC + REN + COA
","2015-04-14 00:00:00"
"2003","CSC + REN + COA","2015-04-16 00:00:00"
"2005","CSC+REN+COA","2015-04-17 00:00:00"
"2008","COS","2015-04-17 00:00:00"
"2009","COS","2015-04-17 00:00:00"
"2013","CSC + REN","2015-04-21 00:00:00"
"2014","CSC + REN","2015-04-21 00:00:00"
"2015","CSC + REN","2015-04-22 00:00:00"
"2032","CSC+COA+CON","2015-04-29 00:00:00"
"2036","CSC + REN","2015-05-01 00:00:00"
"2037","CSC + COA + REN","2015-05-01 00:00:00"
"2039","CSC + REN+ COA","2015-05-01 00:00:00"
"2045","CSC+REN","2015-05-04 00:00:00"
"2051","CSC +REN","2015-05-05 00:00:00"
"2054","CSC + REN","2015-05-06 00:00:00"
"2065","CSC +REN","2015-05-09 00:00:00"
"2073","CSC + REN + COA","2015-05-12 00:00:00"
"2076","CSC+REN","2015-05-13 00:00:00"
"2077","CSC+REN","2015-05-13 00:00:00"
"2078","CSC+REN","2015-05-13 00:00:00"
"2082","CSC+REN","2015-05-14 00:00:00"
"2083","CSC+REN","2015-05-14 00:00:00"
"2089","CSC + REN","2015-05-16 00:00:00"
"2093","CSC+REN","2015-05-20 00:00:00"
"2096","CSC+REN+COA","2015-05-19 00:00:00"
"2100","CSC+REN+COA","2015-05-19 00:00:00"
"2102","CSC + REN","2015-05-20 00:00:00"
"2103","CSC + REN","2015-05-20 00:00:00"
"2105","CSC","2015-05-20 00:00:00"
"2107","CSC+REN+COA","2015-05-21 00:00:00"
"2111","CSC + REN","2015-05-21 00:00:00"
"2120","CSC + REN","2015-05-23 00:00:00"
"2122","CSC+REN","2015-05-23 00:00:00"
"2127","CSC + REN","2015-05-26 00:00:00"
"2128","REN + CSC","2015-05-26 00:00:00"
"2129","REN + CSC","2015-05-26 00:00:00"
"2135","CSC+ REN","2015-05-27 00:00:00"
"2140","CSC + REN ","2015-05-27 00:00:00"
"2141","CSC+REN","2015-05-28 00:00:00"
"2143","CSC","2015-05-29 00:00:00"
"2144","CSC + REN","2015-05-30 00:00:00"
"2147","CSC + REN","2015-06-01 00:00:00"
"2153","CSC + COA","2015-06-02 00:00:00"
"2155","CSC","2015-06-10 00:00:00"
"2159","CSC + COA","2015-06-04 00:00:00"
"2160","CSC+REN","2015-06-04 00:00:00"
"2168","CSC+REN","2015-06-08 00:00:00"
"2171","CSC+REN","2015-06-09 00:00:00"
"2175","CSC + REN","2015-06-11 00:00:00"
